country,year,cs_mean_d1,cs_mean_d2,cs_se_d1,cs_se_d2
Iceland,1967,7.9093957,2.2311084,1.583000894882239,1.4841502483716855
Iceland,1971,4.7824645,-1.8466405,1.7242008666199327,1.0387393647445469
Iceland,1974,7.865231,-1.8622035,2.010979424920155,1.4328303286080344
Iceland,1978,6.570644,-3.0169451,1.557694432527319,0.9795230939130734
Iceland,1980,6.759135,-2.3736944,1.3554024166531033,0.9143186145358615
Iceland,1983,8.473713,-0.9306416,1.5480077515587034,1.2682788554294722
Iceland,1987,5.1895266,-0.07514585,1.138769225647055,0.7857580493224741
Iceland,1988,6.8420258,-1.198747,1.2109699001195833,0.8274162097584293
Iceland,1989,5.325907,-1.6463668,1.4385174645317926,0.9117434819539388
Iceland,1991,2.4408333,1.1954212,1.948161247818412,1.3398265432895917
Iceland,1995,6.230928,-0.43382514,1.6243708009986186,1.2076274913483886
Iceland,1999,6.501685,0.5506247,1.6834098845125802,1.3017152988345666
Iceland,2003,4.2825637,-0.43687558,1.7667303062683166,1.2027969679534445
Iceland,2007,1.3904184,0.1402118,1.6023223983351662,1.0189449489880156
Iceland,2009,3.0140328,-1.0239931,1.0595434806102801,0.628253754691356
Iceland,2013,5.1925354,-1.0477668,1.3301471912831087,0.9012990581187927
Ireland,1982,2.0951078,-2.0869906,1.4596927363557937,0.6337312260372638
Ireland,1989,4.1192265,-2.322106,1.5436276342871729,0.6358582915065512
Ireland,1993,3.084201,-3.9143498,0.8545207780938036,0.27016694726421997
Ireland,1994,4.303361,-2.8313603,0.9839230176435902,0.43371657772229333
Ireland,1997,2.6463006,-2.281872,1.1202127334453393,0.5578951755293224
Ireland,2002,3.6973176,-3.6783144,0.9962413350646591,0.3798354953603259
Ireland,2007,3.3068342,-4.056795,0.6482067287025078,0.22825182276377665
Ireland,2009,4.254142,-3.259032,0.9485439093696687,0.4008305805963485
Ireland,2011,3.146689,-2.698223,0.7695793147106657,0.34658902390181984
Netherlands,1963,2.0561996,-1.8862183,1.5905479162323053,0.9246519704516881
Netherlands,1965,-5.597685,-4.5728893,2.1171472125228283,0.1383741259911928
Netherlands,1967,1.7635436,1.5443561,1.617818351796675,1.3834595608443714
Netherlands,1971,5.0619707,2.186636,1.1612257652329165,1.0792396474120967
Netherlands,1977,5.643264,-1.6725223,1.091614451194584,0.6931506649375907
Netherlands,1981,4.192457,0.09197594,0.8501535711663301,0.66072388105614
Netherlands,1982,3.9726408,0.55630976,1.181455827196664,0.9528277403988885
Netherlands,1986,2.5988526,1.3681921,0.6781240261613357,0.587682326327086
Netherlands,1989,5.394984,1.6763669,0.5889424996112133,0.5292703384163651
Netherlands,1994,5.870107,1.6109116,0.7351485895041427,0.6568942225156209
Netherlands,1998,4.058245,-1.6431444,0.5457630838181615,0.35518125921236093
Netherlands,2002,2.8390498,-0.23792142,0.7034732929357399,0.5113299390204551
Netherlands,2003,3.8825088,-0.36192453,0.9527378471001964,0.6957215063226496
Netherlands,2007,3.530556,-2.1003911,0.7637207367840935,0.4532638437607709
Netherlands,2010,5.0646396,1.6047753,0.5531110793846943,0.5037245283625078
Netherlands,2012,5.4850445,-0.05335267,0.5641810310503526,0.4321148541578988
Norway,1989,6.6853814,10.697102,0.9400599488337976,0.7505304469085942
Norway,2005,8.822182,13.555727,0.5231163695318669,0.27872449812637967
Norway,2009,9.556262,12.389111,0.5646328541666777,0.37140705590987144
Norway,2013,5.879753,11.718965,0.5057660524526648,0.40269677853125
Portugal,1978,11.784515,7.0378237,1.2539443345299541,0.757977228059718
Portugal,1983,14.935927,7.446754,1.2887103482974065,0.8617059464286834
Portugal,2002,14.729846,7.2854543,2.1778912316759267,1.3438723521416784
Portugal,2011,12.395496,9.030937,1.6227679420631398,1.085493481602571
Portugal,2015,14.544752,6.8836694,2.0047599333096726,1.1886884380058853
Sweden,1976,7.658213,6.8764014,0.7497437182671023,0.9892850866949346
Sweden,1979,6.763934,7.0864944,0.7473087819366667,0.9508302243296368
Sweden,1981,6.7839804,3.8074827,1.0445647027299843,1.5458317836945625
Sweden,1991,8.622493,5.8496594,0.6045390088352547,1.0807745552153376
Sweden,2006,8.012933,7.935772,0.5904826300426388,0.8811457670593781
Sweden,2010,6.983638,6.9511323,0.6400534639256312,0.889217919118513
Sweden,2014,7.988723,9.205726,0.664767439594405,0.9079273875475279
